,Item_Weight,Item_Visibility,Item_MRP,Item_Outlet_Sales,Years_Of_Establishment,Outlet_Size_High,Outlet_Size_Medium,Outlet_Size_Small,Outlet_Size_Unknown,Outlet_Location_Type_Tier 1,Outlet_Location_Type_Tier 2,Outlet_Location_Type_Tier 3,Item_Type_Code_Drink,Item_Type_Code_Food,Item_Type_Code_Non Consumable,Item_Fat_Content_Low Fat,Item_Fat_Content_N/A,Item_Fat_Content_Regular,Outlet_Type_Grocery Store,Outlet_Type_Supermarket Type1,Outlet_Type_Supermarket Type2,Outlet_Type_Supermarket Type3
12,15.1,0.1000135,145.4786,1589.2646,20,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
13,17.6,0.047257328,119.6782,2145.2076,22,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0
14,16.35,0.06802430000000001,196.4426,1977.4260000000002,32,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0
15,9.0,0.06908896099999999,56.3614,1547.3192,22,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0
16,11.8,0.008596051,115.3492,1621.8888,10,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
17,9.0,0.06919637599999999,54.3614,718.3982,20,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
18,8.26,0.034237682,113.2834,2303.6679999999997,34,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1
19,13.35,0.10249212,230.5352,2748.4224,15,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
20,18.85,0.138190277,250.8724,3775.086,32,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
21,8.315,0.035399923,144.5444,4064.0432,34,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
22,14.6,0.025698133999999997,196.5084,1587.2672,15,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
23,15.5,0.057556998,107.6938,214.3876,34,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0
24,13.85,0.025896485,165.021,4078.025,22,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0
25,13.0,0.099887103,45.906000000000006,838.908,12,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
26,7.645,0.06669343700000001,42.3112,1065.28,15,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
27,11.65,0.019356131999999998,39.1164,308.9312,32,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0
28,5.925,0.161466534,45.5086,178.4344,21,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0
29,14.5,0.072221801,43.6454,125.8362,34,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0
30,19.25,0.17034855100000001,55.7956,163.7868,21,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0
31,18.6,0.080829372,96.4436,2741.7644,10,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
32,18.7,0.06685022276750005,256.6672,3068.0064,10,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
33,17.85,0.06625509788047809,93.1436,2174.5028,17,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0
34,17.5,0.097904029,174.8738,2085.2856,22,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
35,10.0,0.08929113699999999,146.7102,3791.0652,20,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
36,20.2,0.059511812000000004,128.0678,2797.6916,34,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
37,8.85,0.113123893,122.5388,1609.9044,10,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
38,6.385000000000001,0.12311145300000001,36.9874,388.1614,34,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
39,15.25,0.026480953999999998,87.6198,2180.495,34,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
40,13.35,0.102511504,230.6352,3435.528,22,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0
41,9.8,0.02681843,126.00200000000001,2150.534,32,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0
42,13.6,0.117818348,192.9136,2527.3768,20,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
43,21.35,0.06910283099999999,259.9278,6768.5228,10,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
44,12.15,0.042277867000000004,126.5046,373.5138,32,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
45,6.42,0.08949892599999999,178.1002,358.2004,21,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0
46,19.6,0.055215979753846144,153.3024,2428.8384,17,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
47,10.0,0.025879577,265.2226,5815.0972,17,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0
48,15.85,0.121632721,60.622,2576.646,22,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0
49,10.195,0.25539489600000004,196.8794,780.3176,34,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0
50,7.39,0.067779712,143.8812,3134.5864,22,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0
51,10.195,0.159803853,141.5154,850.8924,32,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0
52,9.895,0.028696932,117.0492,810.9444,32,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
53,10.895,0.065041581,196.3794,3121.2704,12,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0
54,12.15,0.028760012999999997,151.4708,4815.0656,12,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
55,7.905,0.010053105,249.0408,6258.52,10,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
56,9.195,0.048157338,106.1622,2117.244,17,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
57,8.365,0.071958197,38.0506,796.9626,20,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
58,15.1,0.17348130399999998,194.511,4910.275,22,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0
59,5.94,0.061082177,180.0344,892.172,34,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0
60,10.0,0.06851294287337671,246.9144,3185.1872,10,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
61,7.97,0.040071131,87.3514,1062.6168,17,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
62,6.215,0.012090074,38.2848,484.7024,34,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
63,15.5,0.15028599,51.0692,147.8076,34,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0
64,17.5,0.026015518999999997,255.8356,2543.356,34,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
65,17.7,0.195068226,185.4266,184.4266,21,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0
66,19.35,0.033082215,172.5738,4865.6664,15,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
67,13.65,0.078946455,186.024,1118.5439999999999,17,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
68,17.6,0.041700756,164.8526,2302.3364,17,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0
69,8.645,0.14342264300000002,95.84100000000001,2027.361,22,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0
70,15.6,0.10529607199999999,170.1764,3435.528,22,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0
71,15.85,0.121531501,59.222,599.22,32,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
72,18.25,0.0675635640337838,164.7526,4604.6728,17,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0
73,7.855,0.011324862,189.6188,2285.0256,12,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0
74,7.825,0.186357148,254.3698,5580.7356,20,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
75,8.39,0.024205661,114.0176,2290.3520000000003,22,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0
76,12.85,0.033230816,172.3422,1207.0954,20,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
77,13.35,0.113720344,89.9804,643.1628,34,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0
78,19.0,0.11255650699999999,104.9622,1587.933,12,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0
79,5.905,0.06812931539445295,222.5456,5305.0944,17,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0
80,7.76,0.05935224099999999,101.87,1697.79,22,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0
81,11.8,0.014087057,180.3344,1427.4752,22,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0
82,16.75,0.045230944,187.9556,4693.89,10,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
83,18.849999999999998,0.293417759,194.6136,583.2408,34,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0
84,12.6,0.031382044,171.3764,3091.9752,34,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
85,15.5,0.12639886,177.0028,2479.4392,12,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
86,6.055,0.025403897999999998,160.99200000000002,2716.4640000000004,15,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
87,20.2,0.039057677,155.963,3285.723,34,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
88,6.305,0.123115764,95.6436,661.8052,22,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0
89,20.85,0.039624006,117.2808,1523.3504,20,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
90,20.75,0.040421193,122.17299999999999,369.519,21,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0
91,8.895,0.10527411099999999,39.9138,690.4346,20,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
92,19.6,0.033970195,55.1614,1381.535,17,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0
93,19.7,0.053212652,57.893,622.523,15,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
94,9.8,0.024378706,114.5492,1274.3412,15,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
95,7.93,0.009714595,120.0414,487.3656,34,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0
96,12.15,0.131383762,246.046,1231.73,20,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
97,8.75,0.07461309,187.4556,3755.112,15,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
98,12.15,0.028459761,149.9708,4363.6532,34,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
99,8.75,0.07462720099999999,187.8556,1314.2892,22,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0
100,13.3,0.063695084,151.0708,1805.6496,17,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0
101,20.599999999999998,0.045797829000000005,178.5344,2854.9504,34,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
102,8.31,0.11585722300000001,179.1028,3896.2616,20,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
103,16.75,0.024832806000000002,38.7822,667.7974,32,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0
104,19.75,0.034027909,212.0902,3185.853,10,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
105,17.1,0.046769599999999995,141.1838,2247.7408,32,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
106,10.5,0.11657670199999999,163.121,1794.3310000000001,32,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
107,6.635,0.06916929969598755,121.3098,2530.7058,17,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
108,9.395,0.278974075,225.372,679.1160000000001,34,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0
109,14.15,0.035913805,41.4138,812.2760000000001,32,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0
110,13.3,0.079806266,232.53,699.09,22,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0
111,8.89,0.005505481,102.4016,2732.4432,12,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0
112,6.69,0.064625342,176.937,176.437,34,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0
113,6.195,0.071636937,121.7098,4097.3332,34,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
114,9.1,0.06625509788047809,173.2054,3151.8972,17,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
115,7.5,0.032677677999999995,239.0906,5942.265,20,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
116,16.85,0.160760054,192.4478,4843.695,12,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
117,7.485,0.06911065,109.0228,2542.0244,15,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
118,11.6,0.041177505,140.3154,2552.6772,12,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0
119,11.65,0.040081193,227.0694,1141.847,10,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
120,13.0,0.035307322,47.5034,680.4476,12,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
121,12.65,0.063017847,159.0578,2085.9514,17,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0
122,20.25,0.171938781,92.512,186.424,21,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0
123,8.6,0.040197932,190.153,3036.048,15,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
124,12.6,0.049058014000000004,62.7194,866.8716,12,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0
125,17.7,0.01161096,95.041,868.8689999999999,15,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
126,14.15,0.183507295,82.4276,1137.1864,22,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
127,19.25,0.102349519,52.7956,928.1252,12,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0
128,8.88,0.08670898699999999,151.7682,762.341,32,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0
129,20.5,0.032835147,40.2822,707.0796,17,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
130,12.0,0.033809913,180.5976,7968.2944,34,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
131,13.5,0.07266912,160.292,1438.128,22,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0
132,12.15,0.144338493,224.4404,6976.2524,34,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
133,8.89,0.009163216,101.7016,101.2016,21,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0
134,7.855,0.011307038,188.5188,952.0939999999999,10,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
135,7.235,0.076855628,116.0492,1969.4364,22,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0
136,18.25,0.059956876,165.4526,5262.4832,34,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
137,6.92,0.038532062,60.5852,1314.2892,17,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0
138,9.3,0.043209581,90.8172,535.3032,12,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0
139,18.5,0.056816465,132.1284,263.6568,21,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0
140,8.02,0.019866705,154.5972,1402.1748,15,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
141,9.195,0.048331717,105.1622,1693.7952,12,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
142,12.8,0.091221855,105.5938,2143.876,17,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
143,16.6,0.027622076000000002,177.6344,2676.5159999999996,20,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
144,14.0,0.06564523898481303,53.06399999999999,905.488,15,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
145,18.6,0.039355947,246.3802,7370.406,20,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
146,16.0,0.060836524,226.8404,6301.1312,15,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
147,17.6,0.082316506,160.692,1597.92,15,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
148,21.25,0.155350299,178.237,529.311,15,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
149,7.235,0.076841095,117.5492,1969.4364,15,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
150,14.6,0.151419185,50.3692,1034.6532,12,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0
151,13.85,0.026001976,161.52100000000002,1794.3310000000001,10,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
152,13.65,0.073209447,197.6426,2768.3964,10,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
153,9.5,0.041683481,31.29,898.83,34,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1
154,7.365,0.042560252,226.172,3169.208,22,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0
155,18.35,0.014081156000000001,223.5746,3589.9936,10,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
156,5.465,0.06916929969598755,132.5626,262.3252,10,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
157,18.6,0.152918384,99.8358,1910.1802,12,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0
158,13.85,0.030969273999999998,140.9154,1701.7848,12,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0
159,14.0,0.06037677599999999,154.5656,2471.4496,32,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
160,14.0,0.04192285,54.763999999999996,1331.6,32,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
161,21.35,0.077367431,97.0094,1808.9786,34,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
162,5.905,0.045838211,222.5456,3315.684,10,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
163,7.27,0.071077939,114.2518,2618.5914,22,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
164,6.155,0.09465987099999999,214.55599999999998,2769.728,22,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0
165,19.5,0.077608838,233.4958,5375.0034,12,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0
166,15.2,0.021327477,216.8824,2838.9712,12,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0
167,12.15,0.042485444000000004,125.0046,1743.0644,10,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
168,14.6,0.025578526,198.8084,5555.4352,34,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
169,12.6,0.048980800000000005,61.9194,619.194,10,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
170,14.5,0.019471688,164.821,2120.573,15,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
171,16.6,0.122918852,173.0738,3823.0236,12,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0
172,11.8,0.057373797000000004,151.4366,1360.2294,32,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
173,13.1,0.044155597000000005,178.8318,3969.4996,32,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
174,17.7,0.291865402,115.1834,345.5502,21,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0
175,17.85,0.06625509788047809,196.5794,585.2382,21,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0
176,12.3,0.064750025,92.6804,1010.6844,17,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
177,11.8,0.098312421,81.4618,161.1236,21,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0
178,9.395,0.191013663,42.1112,42.6112,34,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0
179,11.1,0.176573035,157.4604,3010.7476,17,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0
180,14.0,0.060134441,153.0656,6024.1584,34,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
181,11.3,0.0072946519999999996,198.1426,988.7130000000001,17,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0
182,10.0,0.128478462,117.944,239.688,34,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0
183,5.75,0.075107656,112.8176,1374.2112,32,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
184,6.215,0.049381405999999996,226.8062,4739.8302,34,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
185,11.35,0.045165795999999994,100.0016,1012.0160000000001,10,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
186,11.1,0.09415375,165.7526,657.8104,34,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0
187,14.0,0.028907832,130.431,778.9860000000001,20,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
188,19.75,0.018059621,179.766,2336.958,17,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
189,6.525,0.09043609400000001,85.0882,2233.0932,20,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
190,10.3,0.146399712,103.9648,1661.8368,20,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
191,5.78,0.07426435599999999,264.7568,4745.8224,20,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
192,11.85,0.050186725999999994,164.1526,3124.5994,17,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
193,16.35,0.020631654,50.1324,467.3916,10,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
194,17.6,0.01561108,182.5976,5070.7328,34,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
195,10.5,0.041395445,37.6164,540.6296,22,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0
196,19.0,0.097313129,48.0718,992.7078,22,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0
197,14.6,0.059582996,238.8538,6008.845,20,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
198,15.6,0.09866365199999999,62.9194,2105.2596,34,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
199,4.615,0.101338651,232.63,5359.69,34,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
200,18.75,0.052146455999999994,104.62799999999999,745.696,17,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
201,5.26,0.041764487,161.8868,3275.736,15,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
202,18.25,0.054344185999999996,140.2154,1701.7848,17,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0
203,10.3,0.07836248400000001,177.937,6704.606,34,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
204,15.1,0.052339069,242.7512,4119.9704,22,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0
205,15.5,0.042464962,81.5934,327.5736,21,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0
206,13.65,0.06573288299999999,45.7402,780.9834,20,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
207,16.1,0.023625114,189.3846,3630.6074,17,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0
208,5.175,0.051643608,107.3622,317.5866,34,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0
209,12.85,0.165694219,39.7164,231.6984,21,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0
210,9.5,0.041878397000000005,32.99,133.16,15,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0
211,13.8,0.058091482,245.1802,5650.6446,15,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0
212,5.78,0.06685022276750005,263.7568,2636.5679999999998,12,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
213,19.7,0.026903714,96.0726,1272.3438,17,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
214,14.65,0.061322312856043934,161.5552,324.9104,21,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0
215,6.67,0.150554711,130.0626,131.1626,21,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0
216,6.11,0.06851294287337671,131.2968,260.9936,21,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0
217,13.65,0.13497562800000001,260.0936,260.9936,21,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0
218,17.2,0.15616879,160.6578,3690.5294,32,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0
219,6.32,0.062283811087058785,40.2822,1139.1838,15,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
220,4.88,0.133700752,52.9298,1995.4026,20,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
221,5.425,0.115119905,88.3514,1416.8224,12,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
222,15.85,0.11003099699999999,37.2506,265.6542,22,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0
223,7.5,0.051038045,121.7072,3552.7088,12,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0
